company,code,market,market_cap,business,industry_share_or_purity,entry_category,data_status
广东宏大,002683,A股,210.49亿元,矿服一体化+防务装备,高，民爆矿服为核心,A/B/C,2026-07-13收盘
易普力,002096,A股,108.66亿元,工业炸药+现场混装+矿服,高，民爆主业,A/C,2026-07-13收盘
江南化工,002226,A股,118.41亿元,民爆一体化+工程服务,中高，含多元业务,A/B/C,2026-07-13收盘
北化股份,002246,A股,98.00亿元,硝化棉+防护器材,高，特种材料主业,A/B/C,2026-07-13收盘
雅化集团,002497,A股,208.84亿元,锂盐+民爆,低于30%，非纯正,A/C,2026-07-13收盘
金奥博,002917,A股,33.61亿元,民爆智能装备+电子雷管,高，装备与民爆主业,补充纯正标的,2026-07-13收盘
雪峰科技,603227,A股,75.45亿元,新疆民爆+矿服,高，区域民爆主业,B/C,2026-07-13收盘
保利联合,002037,A股,28.16亿元,民爆+爆破工程,高，但经营质量差,补充纯正标的,2026-07-13收盘
国泰集团,603977,A股,73.80亿元,民爆+电子雷管+含能材料,高，民爆主业,A/B,2026-07-13收盘
凯龙股份,002783,A股,33.70亿元,民爆+硝酸铵,高，区域民爆主业,B,2026-07-13收盘
壶化股份,003002,A股,32.24亿元,电子雷管+导爆索+民爆,高，民爆主业,补充纯正标的,2026-07-13收盘
ST同德,002360,A股,21.09亿元,民爆+其他业务,中高，但ST,B,2026-07-13收盘
高争民爆,002827,A股,62.75亿元,西藏区域民爆,高，区域民爆主业,补充纯正标的,2026-07-13收盘
中天火箭,003009,A股,100.23亿元,小型固体火箭+炭材料,中，防务相关但不纯,A/B/C,2026-07-13收盘
Chemring,CHG.L,英国,待核（公开接口未取到）,含能材料、诱饵弹、传感器,高,补充纯正标的,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Rheinmetall,RHM.DE,德国,$53.37 Billion USD,弹药总装、炮弹、推进剂体系,中高,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
BAE Systems,BA.L,英国,$72.80 Billion USD,弹药与综合防务,估计低于30%，非纯正,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Thales,HO.PA,法国,$51.97 Billion USD,引信、电子与综合防务,估计低于30%，非纯正,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Leonardo,LDO.MI,意大利,$33.97 Billion USD,综合防务与弹药配套,估计低于30%，非纯正,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Saab,SAAB-B.ST,瑞典,$30.02 Billion USD,武器系统与弹药配套,中,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Kongsberg Gruppen,KOG.OL,挪威,$25.10 Billion USD,导弹与防务系统,中,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Hanwha Aerospace,012450.KS,韩国,$32.24 Billion USD,火炮、弹药与发动机,中高,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Poongsan,103140.KS,韩国,待核（公开接口未取到）,弹药与铜加工,中高,补充纯正标的,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Solar Industries India,SOLARINDS.NS,印度,$17.18 Billion USD,工业炸药+防务含能材料,高,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Premier Explosives,PREMEXPLN.NS,印度,待核（公开接口未取到）,炸药、推进剂与防务产品,高,补充小市值,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Orica,ORI.AX,澳大利亚,$7.42 Billion USD,全球矿用炸药与爆破服务,高,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Incitec Pivot/Dyno Nobel,IPL.AX,澳大利亚,待核（公开接口未取到）,工业炸药与化肥,中高,补充纯正标的,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
AECI,AFE.JO,南非,待核（公开接口未取到）,矿用炸药与化学品,中高,补充纯正标的,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
General Dynamics,GD,美国,$100.82 Billion USD,弹药与综合防务,估计低于30%，非纯正,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Northrop Grumman,NOC,美国,$76.45 Billion USD,固体火箭发动机与综合防务,中,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Lockheed Martin,LMT,美国,$119.80 Billion USD,导弹与综合防务,估计低于30%，非纯正,C,CompaniesMarketCap 2026-07-13抓取；缺失项明确标注
Eurenco,未上市,法国/欧洲,未公开/不适用,发射药、高能炸药,高,未上市关键玩家,欧洲国家资本背景
Nammo,未上市,挪威/芬兰,未公开/不适用,弹药、推进剂、火箭发动机,高,未上市关键玩家,北欧国资背景
Nitro-Chem / PGZ,未上市,波兰,未公开/不适用,TNT/RDX等军用炸药,高,未上市关键玩家,波兰国资体系
MAXAM,未上市,西班牙,未公开/不适用,工业炸药与爆破服务,高,未上市关键玩家,私有
Austin Powder,未上市,美国,未公开/不适用,工业炸药与爆破服务,高,未上市关键玩家,家族私有
CSG,未上市,捷克,未公开/不适用,弹药与防务工业,高,未上市关键玩家,私有，IPO动态待核
北方特种能源集团,未上市,中国,未公开/不适用,军用含能材料与火工品,高,未上市关键玩家,兵器工业体系
银光集团,未上市,中国,未公开/不适用,军用化工与含能材料,高,未上市关键玩家,兵器工业体系
