company,code,bottleneck,layer,rating,purity,mcap_100m_cny,revenue_2025_100m_cny,netprofit_2025_100m_cny,ps,pe_ttm,pe_calc_2025,rev_yoy_pct,np_yoy_pct,gross_margin_pct,valuation_light,valuation_notes,signal_strength,required_np_2036_for_10pct_irr_100m_cny,required_np_multiple_vs_2025,required_np_cagr_pct,watch_action,share_note,quote_source,financial_source
精测电子,300567,量测检测/面板与半导体测试,Layer 2-3,S,中,674.56,33.4764,0.8202,20.15031484866951,953.83,822.4335527920019,30.508470894174,184.038972184653,46.7304400646,黄灯,PE>80,★★★☆☆,69.98539655540225,85.32723305950041,55.994313171355884,高瓶颈低安全边际，等利润兑现,量测是核心瓶颈，但公司业务与盈利质量需拆分,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
雅克科技,002409,前驱体/电子材料/特种气体相关材料,Layer 2,A,中,665.71,86.1147,10.0032,7.7305036190104595,98.8,66.5497040946897,25.489252431199,14.770104637052,30.9574840169,黄灯偏绿,PE>80;PS<10且收入增长,★★★☆☆,69.06721172452684,6.9045117286995,21.314663290890778,相对值得做二级研究候选,PS相对可接受，但业务多元，半导体纯度不如安集,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
彤程新材,603650,光刻胶/电子树脂,Layer 2,A,中,550.32,34.2881,5.6255,16.049883195627636,94.37,97.8259710247978,4.847636668613,8.858249851884,24.1964531139,黄灯,PE>80,★★★☆☆,57.09553402568928,10.149414989901214,26.079390608279816,期权观察，避免叙事溢价,光刻胶瓶颈真实，但高端进度需验证,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
北方华创,002371,刻蚀/薄膜沉积/PVD/热处理平台,Layer 2-3,A,高,6369.58,393.5311,55.2199,16.185709337838865,114.32,115.34935774965184,30.850525003344,-1.774593786742,40.1037429257,黄灯,PE>80,★★★☆☆,660.8420039601504,11.96746107762148,28.17407808056376,加入核心观察，等待估值消化,中国设备平台型龙头，品类广；不是单一瓶颈纯标的,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
鼎龙股份,300054,CMP抛光垫/半导体材料,Layer 2,A,中,713.37,36.5991,7.202,19.49146290482553,110.22,99.05165231880034,9.655438660452,38.31562198525,50.8504348397,黄灯,PE>80,★★★☆☆,74.01192235046148,10.276579054493402,26.236474377478956,观察半导体材料占比提升,材料突破但业务多元,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
南大光电,300346,电子特气/前驱体/光刻胶,Layer 2,A,中,525.97,25.8546,3.1976,20.343381835340715,159.06,164.48899174380784,9.931417738868,18.000807713433,39.6205436878,黄灯,PE>80,★★★☆☆,54.56922886955188,17.065683284198112,32.8043706674398,只做期权观察,高端材料期权属性强，验证周期长,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
沪硅产业,688126,12英寸硅片,Layer 2,A,高,1058.68,37.1603,-15.0751,28.489543948784053,-69.08,-70.22706317039356,9.694688950839,-55.32704803111,-17.0622723304,黄灯,亏损且PS>15,★★★☆☆,109.83773070634672,,,暂不追踪为买入标的,国产硅片战略价值高，但2025亏损且重资产周期,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
金宏气体,688106,电子/工业气体现场供应,Layer 2-4,B,中,203.71,27.7658,1.3192,7.336723595214257,219.54,154.41934505761068,9.951354393664,-34.439252265094,29.7090807742,黄灯偏绿,PE>80;PS<10且收入增长,★★★☆☆,21.13485106187884,16.020960477470314,31.968066842835306,观察，不作为半导体纯标的,PS低但半导体纯度和占比需细查,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
江丰电子,300666,高纯溅射靶材,Layer 2,B,高,805.92,46.041,4.995,17.504398253730372,182.21,161.34534534534535,27.715622530719,24.699924844372,27.1716205035,黄灯,PE>80,★★★☆☆,83.61395693775168,16.739530918468805,32.54835076487061,估值红灯，等待利润跟上,靶材认证壁垒强但毛利率低于高端化学品,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
XD华特气,688268,电子特气,Layer 2,B,中高,292.66,14.1875,1.3535,20.628017621145375,234.44,216.22460288141855,1.701886628068,-26.749155306481,30.87301529,黄灯,PE>80,★★☆☆☆,30.36338673491464,22.433237336471844,36.48634225305154,估值红灯，暂不进入明确标的,特气纯度和认证有壁垒，但利润体量小,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
盛美上海,688082,清洗/电镀/湿法设备,Layer 2-3,A,高,2065.29,67.8617,13.9593,30.433808761053733,166.5,147.9508284799381,20.798929711356,21.049591062808,48.3179881345,红灯,PS>30且收入增速<100%;PE>80,★★☆☆☆,214.27321461679716,15.349853833415512,31.404556388589743,加入观察，跟踪验收与现金流,清洗设备国产化较快，毛利率高,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
安集科技,688019,CMP抛光液/湿电子化学品,Layer 2,A,高,782.35,25.0422,7.8365,31.241264745110254,95.12,99.83410961526191,36.468513722689,46.848622683531,56.7236786223,红灯,PS>30且收入增速<100%;PE>80,★★☆☆☆,81.1685765463694,10.3577587630153,26.33584200407517,高质量观察，但当前PS/PE偏贵,耗材复购，认证粘性强，商业模式好,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
长川科技,300604,ATE/分选机/探针台,Layer 2-3,A,高,1830.62,52.9154,13.3138,34.5952218068842,150.85,137.4979344740044,45.3111174427,190.420215487814,55.0546315574,红灯,PS>30且收入增速<100%;PE>80,★★☆☆☆,189.92627289233047,14.265369232850913,30.445259692475535,观察周期弹性，估值红灯,测试设备受存储和先进封装拉动,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
中微公司,688012,刻蚀设备,Layer 2-3,A,高,4443.31,123.8464,21.1147,35.87758707560333,165.53,210.43680469057102,36.617900883745,30.686679836527,39.1654495476,红灯,PS>30且收入增速<100%;PE>80,★★☆☆☆,460.99207241547725,21.832755019748195,36.11652530272602,加入核心观察，估值红灯不追涨,刻蚀国产替代尖刀，客户验证强,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
拓荆科技,688072,PECVD/ALD/SACVD 薄膜沉积,Layer 2-3,A,高,2352.01,65.1909,9.267,36.07880854536446,147.08,253.80489910434878,58.868482685935,34.66505935321,34.9522590568,红灯,PS>30且收入增速<100%;PE>80,★★☆☆☆,244.02032814319205,26.332181735533833,38.6911292806986,加入卫星观察，等PS降至合理区,沉积细分纯度高，规模仍小,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
华海清科,688120,CMP设备/减薄设备,Layer 2-3,A,高,1701.88,46.4823,10.8372,36.613506646616024,155.05,157.04056398331673,36.46258832312,5.893724535711,41.8136869445,红灯,PS>30且收入增速<100%;PE>80,★★☆☆☆,176.56953671979952,16.292911150463176,32.19038544598125,加入观察，估值红灯,A股稀缺CMP设备龙头,Tencent qt.gtimg.cn 2026-07-09 close snapshot,Eastmoney F10 2025 annual structured data
