rank,company,code,layer,bottleneck,market_cap_cny_bn,revenue_2025_cny_bn,net_profit_2025_cny_bn,revenue_growth_2025_pct,ps_2025,pe_2025,optimistic_10y_profit_multiple,optimistic_10y_return_pct,required_profit_10pct_cny_bn,required_profit_multiple_10pct,valuation_light,signal
1,华明装备,002270,Layer 3,变压器分接开关,16.491,2.427,0.710,4.50,6.79,23.23,3,12.44,1.711,2.41,绿灯但AI直接纯度低,★★★
2,工业富联,601138,Layer 1,AI服务器与机柜系统整合,1247.797,902.887,35.286,48.22,1.38,35.36,4,10.95,129.459,3.67,绿灯但非物理瓶颈,★★★
3,科华数据,002335,Layer 2/4,智算中心供配电与UPS,23.183,8.160,0.418,5.20,2.84,55.46,5,8.47,2.405,5.75,黄绿灯,★★★
4,沪电股份,002463,Layer 2,高速网络与AI服务器PCB,222.726,18.945,3.822,42.00,11.76,58.27,5,7.93,23.108,6.05,黄灯,★★★
5,新易盛,300502,Layer 2,高速光模块整机,693.364,24.842,9.532,187.29,27.91,72.74,8,10.64,71.936,7.55,黄灯需持续高增速,★★★
6,生益科技,600183,Layer 2,高速CCL与PP,303.868,28.431,3.334,39.45,10.69,91.14,6,5.11,31.526,9.46,黄灯PE大于80,★★
7,中际旭创,300308,Layer 2,高速光模块整机,1196.111,38.240,10.797,60.25,31.28,110.78,6,3.08,124.096,11.49,红灯PS大于30且增速低于100%,★★
8,英维克,002837,Layer 2/4,机房温控与液冷集成,77.876,6.068,0.522,32.23,12.83,149.19,5,-1.75,8.080,15.48,黄灯且安全边际不通过,★★
9,寒武纪,688256,Layer 1,国产AI加速器,784.738,6.497,2.059,453.21,120.78,381.13,15,-0.16,81.416,39.54,红灯五年乐观收入检验不通过,★★
10,海光信息,688041,Layer 1,DCU与高端处理器,725.193,14.377,2.545,56.92,50.44,284.95,10,-1.30,75.239,29.56,红灯PS大于30且增速低于100%,★★
11,源杰科技,688498,Layer 3,CW/DFB/EML光芯片,179.903,0.601,0.191,138.50,299.34,941.90,15,-8.80,18.665,97.72,红灯五年乐观收入检验不通过,★★
