industry,demand_25,moat_profit_pool_25,financial_quality_20,valuation_20,downside_resilience_10,weighted_score,team_lead_bucket
白色家电,3.5,4.5,5.0,4.0,4.0,4.20,优先深研
成熟水电,4.0,5.0,4.5,3.0,3.5,4.10,优先深研但等待安全边际
电网设备与配网自动化,5.0,4.0,4.0,3.0,3.5,4.00,优先深研并精选个股
高端白酒,2.5,5.0,5.0,3.5,3.0,3.93,精选个股
血液制品,4.5,5.0,3.0,3.0,3.5,3.93,等待盈利与现金流确认
省级教材出版发行,2.5,4.5,4.5,4.0,3.0,3.75,逆向精选
电信运营商,3.0,4.5,3.5,4.0,3.5,3.73,收益型精选
快递物流,3.5,3.5,4.0,4.0,3.0,3.65,精选龙头
动力电池,4.0,3.5,4.5,3.5,2.5,3.73,仅龙头与技术路线级研究
铜矿资源,4.0,3.5,4.0,3.5,2.0,3.58,周期价格纪律
现场工业气体,4.0,4.0,3.5,3.0,3.0,3.60,逐项目逐公司
检测认证,4.0,3.5,4.0,3.0,3.0,3.58,精选龙头
核电运营,4.5,4.5,2.5,3.0,2.5,3.60,长期观察
优质银行,2.5,3.5,3.5,5.0,2.5,3.45,防守池逐行研究
保险,3.5,3.5,3.0,4.5,2.0,3.45,防守池逐险企研究
半导体设备与材料,5.0,4.0,3.5,1.0,2.0,3.35,好行业但高预期
创新药,5.0,3.0,3.0,2.0,2.0,3.20,只做管线级研究
AI光模块,5.0,2.5,4.0,1.0,2.0,3.08,只做个股与订单周期研究
煤炭,2.0,3.0,3.5,2.5,2.0,2.65,当前不做行业级优先
新能源整车,3.5,2.0,2.5,2.0,2.0,2.48,当前不做行业级优先
光伏主产业链,4.5,1.5,1.5,1.0,1.5,2.15,等待供给出清
人形机器人与eVTOL,4.5,1.5,1.0,1.0,1.5,2.05,主题观察
