rank,company,code,layer,bottleneck,price_cny_20260807,market_cap_cny_bn,revenue_2025_cny_bn,net_profit_2025_cny_bn,revenue_growth_2025_pct,ps_2025,pe_2025,pe_ttm_quote,optimistic_assumption,optimistic_10y_irr_pct,required_2036_net_profit_for_10pct_cny_bn,purity,signal,valuation
1,通富微电,002156,Layer 2,AI/HPC先进封装,64.72,98.2189,27.9210,1.2190,16.92,3.52,80.57,67.91,2025净利连续10年增长25%,11.19,10.19,AI收入占比未单列,★★★,PS绿灯但PE黄灯且纯度不足
2,安集科技,688019,Layer 3,CMP抛光液与湿电子化学品,251.68,57.4728,2.5042,0.7837,36.47,22.95,73.34,69.88,2025净利连续10年增长25%,12.25,5.96,高,★★★,黄灯；只有十年高增才有回报
3,雅克科技,002409,Layer 3,前驱体与电子材料,148.78,70.8085,8.6115,1.0003,25.49,8.22,70.79,70.33,2025净利连续10年增长25%,12.64,7.35,中,★★★,PS绿灯但业务多元
4,北方华创,002371,Layer 3,刻蚀沉积PVD与热处理平台,751.99,545.7110,39.3531,5.5220,30.85,13.87,98.83,97.87,2025净利连续10年增长30%,13.31,56.62,高,★★★,黄灯；需要十年30%增长才显安全
5,长电科技,600584,Layer 2,2.5D/3D与FCBGA先进封装,77.75,139.1270,38.8710,1.5650,8.09,3.58,88.90,84.21,2025净利连续10年增长20%,5.70,14.43,AI收入占比未单列,★★★,PS绿灯但回报不达标
6,中微公司,688012,Layer 3,高端刻蚀设备,367.65,352.1507,12.3846,2.1115,36.62,28.43,166.78,129.05,2025净利连续10年增长30%,7.53,36.54,高,★★,高PE且乐观回报仍不足
7,长川科技,300604,Layer 3,ATE分选探针测试设备,283.21,182.8353,5.2915,1.3314,45.31,34.55,137.33,116.24,2025净利连续10年增长25%,5.42,18.97,高,★★,PS红灯且PE黄灯
8,长鑫科技,688825,Layer 2,DRAM与潜在HBM,52.48,3509.9089,61.7993,1.8749,155.60,56.80,1872.09,124.48,2026H1归母中值年化1070亿元后连续10年增长15%,11.92,364.15,DRAM高但HBM收入未披露,★★,TAM红灯；首发后估值透支
9,中科飞测,688361,Layer 3,量测检测与良率控制,351.00,123.5701,2.0533,0.0587,48.75,60.18,2106.82,21866.98,2025净利连续10年增长50%,-3.72,12.82,高,★★,PS红灯且扣非亏损现金流为负
10,华大九天,301269,非物理层,EDA-IP-PDK与3DIC工具,94.69,51.8783,1.3250,0.0610,8.40,39.15,850.63,-2386.93,2025净利连续10年增长30%,-8.64,5.38,高,★★,PS红灯且TTM亏损
