('c-329', 'BRUKINSAMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '3,928,489')
('c-330', 'BRUKINSAMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '2,644,226')
('c-331', 'BRUKINSAMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '1,290,396')
('c-332', 'TislelizumabMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '737,304')
('c-333', 'TislelizumabMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '620,836')
('c-334', 'TislelizumabMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '536,620')
('c-335', 'XGEVAMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '305,979')
('c-336', 'XGEVAMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '224,403')
('c-337', 'XGEVAMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '92,828')
('c-338', 'BLINCYTOMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '104,224')
('c-339', 'BLINCYTOMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '74,331')
('c-340', 'BLINCYTOMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '54,342')
('c-341', 'KYPROLISMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '74,974')
('c-342', 'KYPROLISMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '66,171')
('c-343', 'KYPROLISMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '39,799')
('c-344', 'POBEVCYMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '47,400')
('c-345', 'POBEVCYMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '53,509')
('c-346', 'POBEVCYMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '56,547')
('c-347', 'OtherMember', '2025-01-01', '2025-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '83,691')
('c-348', 'OtherMember', '2024-01-01', '2024-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '96,070')
('c-349', 'OtherMember', '2023-01-01', '2023-12-31', 'us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax', '119,320')
count 21
