name,code,market,subsector,purity,business_one_liner,main_business_eastmoney,entry_categories,entry_reason,market_cap_tencent_yi,market_cap_eastmoney_yi,market_cap_diff_pct,market_cap_crosscheck,market_cap_calculated_yi,market_cap_formula_diff_pct,price,quote_time,avg_turnover_30d_yi,return_30d_pct,return_90d_pct,rank_a_turnover_30d,rank_b_return_30d,rank_b_return_90d,rank_c_market_cap,trading_sessions_30d,source_business_url,source_quote_eastmoney_url,source_quote_tencent_url,day_change_pct,day_turnover_yi,eastmoney_industry,eastmoney_price,float_market_cap_tencent_yi,history_last_date,official_name,pb,pe_dynamic,purity_note,selected_layer1,top_a_turnover_30d,top_b_return_30d,top_b_return_90d,top_c_market_cap,total_shares_eastmoney,turnover_rate_pct
阳光电源,300274,A股-SZ,风光-逆变器,高,光伏逆变器、储能及新能源电站系统,专注于太阳能、风能、储能、氢能、电动汽车及充电等新能源电源设备的研发、生产、销售和服务,A/C,30日均成交额第3，91.30亿元/日；主题市值第1，2351.44亿元,2351.44,2351.4363971008,0.00015322097097542956,一致,2351.4363971008,0.00015322097097542956,113.42,20260724161427,91.3006844090909,-26.7312661498708,-15.225353165408476,3,133,26,1,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ300274,https://quote.eastmoney.com/sz300274.html,https://qt.gtimg.cn/q=sz300274,-3.71,63.847,电气设备-电源设备-太阳能,113.42,1800.57,2026-07-24,阳光电源,4.98,19.72,,True,True,False,False,True,2073211424.0,3.47
中国广核,003816,A股-SZ,核电-运营,高,核电站建设、运营和售电,"建设、运营及管理核电站,销售该等核电站所发电力,组织开发核电站的设计及科研工作。",B/C,30日涨幅第8（1.75%）；主题市值第2，2050.25亿元,2050.25,2050.2515116229997,7.37287159963295e-05,一致,2050.251511623,7.37287160185096e-05,4.06,20260724161448,4.391025727272727,1.7543859649122806,-12.5,55,8,23,2,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ003816,https://quote.eastmoney.com/sz003816.html,https://qt.gtimg.cn/q=sz003816,-2.4,4.2363,公用事业-电力-其他发电,4.06,1597.01,2026-07-24,中国广核,1.69,21.62,,True,False,True,False,True,50498805705.0,0.26
中国核电,601985,A股-SH,核电-运营,高,核电运营并拓展风光新能源,电力(包括核能发电与风、光发电)销售业务、核电相关技术服务与咨询业务,A/B/C,30日均成交额第25，10.35亿元/日；30日涨幅第9（1.02%）、90日涨幅第9（-1.87%）；主题市值第3，1830.55亿元,1830.55,1830.552184586,0.00011934041682074658,一致,1830.552184586,0.00011934041682074658,8.9,20260724161454,10.353832045454546,1.0215664018161181,-1.8743109151047408,25,9,9,3,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH601985,https://quote.eastmoney.com/sh601985.html,https://qt.gtimg.cn/q=sh601985,-2.09,7.6038,公用事业-电力-新能源发电,8.9,1680.61,2026-07-24,中国核电,1.57,22.24,,True,True,True,True,True,20568002074.0,0.45
华电新能,600930,A股-SH,风电-运营,中,风力发电、太阳能发电为主的新能源项目的开发、投资和运营,风力发电、太阳能发电为主的新能源项目的开发、投资和运营,C,主题市值第4，1735.31亿元,1735.31,1735.3142857024002,0.0002469704202844871,一致,1735.3142857024,0.0002469704202713843,4.16,20260724161444,5.643994772727273,-18.271119842829076,-33.546325878594246,42,106,102,4,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600930,https://quote.eastmoney.com/sh600930.html,https://qt.gtimg.cn/q=sh600930,-4.81,11.9308,公用事业-电力-新能源发电,4.16,446.92,2026-07-24,华电新能,1.59,27.1,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,False,False,False,True,41714285714.0,2.63
华润新能源,001248,A股-SZ,风电-运营,中,投资、开发、运营和管理风力、太阳能发电站,投资、开发、运营和管理风力、太阳能发电站,A/C,30日均成交额第4，45.17亿元/日；主题市值第5，1651.70亿元,1651.7,1651.70165722,0.00010033420112429852,一致,1651.70165722,0.00010033420112429852,12.7,20260724161409,45.16683211764706,-46.97286012526096,-46.97286012526096,4,167,158,5,17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ001248,https://quote.eastmoney.com/sz001248.html,https://qt.gtimg.cn/q=sz001248,-6.89,19.6414,公用事业-电力-新能源发电,12.7,134.93,2026-07-24,华润新能源,1.45,30.74,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,True,False,False,True,13005524860.0,14.22
龙源电力,001289,A股-SZ,风电-运营,高,大型风电运营商,"能源投资、开发与管理,从事的主要业务包括风力发电、太阳能发电等",B/C,30日涨幅第16（-1.11%）、90日涨幅第11（-3.90%）；主题市值第6，1339.24亿元,1339.24,1339.2425494728,0.00019036713359485717,一致,1339.2425494728,0.00019036713359485717,16.02,20260724161436,1.6824182272727273,-1.1111111111111112,-3.8992201559688064,104,16,11,6,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ001289,https://quote.eastmoney.com/sz001289.html,https://qt.gtimg.cn/q=sz001289,-3.96,1.2483,公用事业-电力-新能源发电,16.02,807.72,2026-07-24,龙源电力,1.76,31.55,,True,False,True,True,True,8359816164.0,0.15
亨通光电,600487,A股-SH,海上风电-海缆,中,通信网络与海洋能源系统,"通信网络业务,能源互联业务",A/C,30日均成交额第1，154.39亿元/日；主题市值第7，1293.13亿元,1293.13,1293.1294603451,4.1732455375280445e-05,一致,1293.1294603451,4.1732455375280445e-05,52.43,20260724161440,154.3858211818182,-55.94858007057638,-24.604544147253378,1,169,56,7,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600487,https://quote.eastmoney.com/sh600487.html,https://qt.gtimg.cn/q=sh600487,-5.82,77.5524,信息技术-通信设备-通信传输设备,52.43,1286.45,2026-07-24,亨通光电,4.07,40.05,,True,True,False,False,True,2466392257.0,5.88
德业股份,605117,A股-SH,光伏-逆变器,中,"研发、设计、生产、销售、服务为一体的制造企业,拥有以逆变器为主的电路控制系列、环境电器系列和热交换器系列三大核心业务,致力于为全球客户提供“智能、健康、节能、环保”的产品和解决方案","研发、设计、生产、销售、服务为一体的制造企业,拥有以逆变器为主的电路控制系列、环境电器系列和热交换器系列三大核心业务,致力于为全球客户提供“智能、健康、节能、环保”的产品和解决方案",A/C,30日均成交额第14，17.15亿元/日；主题市值第8，1126.17亿元,1126.17,1126.172851342,0.0002531893053433655,一致,1126.172851342,0.0002531893053433655,88.45,20260724161441,17.153181272727274,-11.328320802005013,-39.75616401035281,14,63,139,8,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH605117,https://quote.eastmoney.com/sh605117.html,https://qt.gtimg.cn/q=sh605117,-0.07,24.1102,家电-其他家电-其他家电,88.45,1126.17,2026-07-24,德业股份,11.34,30.83,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,True,False,False,True,1273231036.0,2.1
华能国际,600011,A股-SH,海上风电/综合电力,低,大型综合发电商，风光为转型业务,"利用现代化的技术和设备,利用国内外资金,在国内外开发、建设和运营大型燃煤、燃气发电厂、新能源发电项目及配套港口、航运、增量配电网等设施,为社会提供电力、热力及综合能源服务。",A/B/C,30日均成交额第20，11.59亿元/日；90日涨幅第4（1.58%）；主题市值第9，1112.99亿元,1112.99,1112.9948191531,0.00043299159022234553,一致,1112.9948191531,0.00043299159022234553,7.09,20260724161457,11.588193,-4.704301075268817,1.5759312320916905,20,31,4,9,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600011,https://quote.eastmoney.com/sh600011.html,https://qt.gtimg.cn/q=sh600011,-4.58,12.5009,公用事业-电力-火电,7.09,779.74,2026-07-24,华能国际,1.75,8.0,,True,True,False,True,True,15698093359.0,1.58
三峡能源,600905,A股-SH,海上风电/风光-运营,高,风电和太阳能发电，海风装机重要,风能、太阳能的开发、投资和运营,B/C,30日涨幅第19（-1.53%）、90日涨幅第14（-6.08%）；主题市值第10，1103.48亿元,1103.48,1103.4832954812,0.00029864439772214735,一致,1103.4832954812,0.00029864439772214735,3.86,20260724161439,4.692351681818182,-1.530612244897959,-6.082725060827251,53,19,14,10,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600905,https://quote.eastmoney.com/sh600905.html,https://qt.gtimg.cn/q=sh600905,-2.03,4.4328,公用事业-电力-新能源发电,3.86,1103.48,2026-07-24,三峡能源,1.25,47.82,,True,False,True,True,True,28587650142.0,0.4
